PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=297 ttl=116 time=40.2 ms
1408 bytes from 8.8.8.8: icmp_seq=298 ttl=116 time=43.9 ms
1408 bytes from 8.8.8.8: icmp_seq=299 ttl=116 time=60.0 ms
1408 bytes from 8.8.8.8: icmp_seq=300 ttl=116 time=56.9 ms
1408 bytes from 8.8.8.8: icmp_seq=301 ttl=116 time=24.9 ms
1408 bytes from 8.8.8.8: icmp_seq=302 ttl=116 time=40.3 ms
1408 bytes from 8.8.8.8: icmp_seq=303 ttl=116 time=47.9 ms
1408 bytes from 8.8.8.8: icmp_seq=304 ttl=116 time=30.5 ms
1408 bytes from 8.8.8.8: icmp_seq=305 ttl=116 time=46.1 ms
1408 bytes from 8.8.8.8: icmp_seq=306 ttl=116 time=46.9 ms
1408 bytes from 8.8.8.8: icmp_seq=307 ttl=116 time=24.2 ms
1408 bytes from 8.8.8.8: icmp_seq=308 ttl=116 time=34.0 ms
1408 bytes from 8.8.8.8: icmp_seq=309 ttl=116 time=54.3 ms
1408 bytes from 8.8.8.8: icmp_seq=310 ttl=116 time=45.8 ms
1408 bytes from 8.8.8.8: icmp_seq=311 ttl=116 time=51.1 ms
1408 bytes from 8.8.8.8: icmp_seq=312 ttl=116 time=33.3 ms
1408 bytes from 8.8.8.8: icmp_seq=313 ttl=116 time=29.7 ms
1408 bytes from 8.8.8.8: icmp_seq=314 ttl=116 time=29.4 ms
1408 bytes from 8.8.8.8: icmp_seq=315 ttl=116 time=31.1 ms
1408 bytes from 8.8.8.8: icmp_seq=316 ttl=116 time=45.0 ms
1408 bytes from 8.8.8.8: icmp_seq=317 ttl=116 time=32.2 ms
1408 bytes from 8.8.8.8: icmp_seq=318 ttl=116 time=28.2 ms
1408 bytes from 8.8.8.8: icmp_seq=319 ttl=116 time=27.1 ms
1408 bytes from 8.8.8.8: icmp_seq=320 ttl=116 time=25.9 ms
1408 bytes from 8.8.8.8: icmp_seq=321 ttl=116 time=40.0 ms
1408 bytes from 8.8.8.8: icmp_seq=322 ttl=116 time=38.9 ms
1408 bytes from 8.8.8.8: icmp_seq=323 ttl=116 time=46.3 ms
1408 bytes from 8.8.8.8: icmp_seq=324 ttl=116 time=37.0 ms
